,BALANCE,BALANCE,PURCHASES,PURCHASES,CASH_ADVANCE,CASH_ADVANCE,CREDIT_LIMIT,CREDIT_LIMIT,PAYMENTS,PAYMENTS,PRC_FULL_PAYMENT,PRC_FULL_PAYMENT,PURCHASES_FREQUENCY,PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_FREQUENCY
,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median,mean,median
cluster,,,,,,,,,,,,,,,,
0,799.75,424.97,505.53,304.6,330.82,0.0,3271.51,2500.0,909.68,569.82,0.16,0.0,0.47,0.42,0.07,0.0
1,2220.0,1239.89,4268.52,3129.67,458.42,0.0,7733.97,7000.0,4151.28,2764.89,0.3,0.08,0.95,1.0,0.06,0.0
2,3989.14,3460.59,384.53,0.0,3866.21,3099.14,6675.44,6000.0,3019.11,1648.48,0.03,0.0,0.23,0.0,0.45,0.42
